date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:27	100841/100841	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-271.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-271.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:27	74179/74179	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-272.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-272.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:27	67128/67128	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-273.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-273.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:28	147824/147824	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/background/15.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/background/15.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:28	161673/161673	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/96.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/96.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:28	87916/87916	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-274.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-274.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:28	74040/74040	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-275.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-275.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:28	49887/49887	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/97.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/97.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:29	51712/51712	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/98.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/98.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:29	125540/125540	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/99.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/99.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:29	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Dec%202025%2012:33:30%20GMT	https://unicoderbd.com/template/bigbazar/blog-single	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/blog-single	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:29	1966/1966	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/logo/19.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/logo/19.png	(from https://unicoderbd.com/template/bigbazar/index-watches.html)
19:33:30	4830/4830	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/css/category/fatloss.css	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/css/category/fatloss.css	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
